TID.string(),TSource.string(),TTestName.string(),TType.string(),TDescription.string(),TIssueName.string(),TIssueType.string(),TSeverity.int32(),TTesterSupport.string(),TPhase.string(),TSection.string(),TStep.string(),TIssueBackground.string(),TRemediationBackground.string(),TRef1.string(),TRef2.string(),TTRef.string(),TCweID.string(),TPCI.boolean(),TTop10.boolean(),TTop25.boolean(),TStdTest.boolean()
ASVS-V02.01.12,OWASP-ASVS,L1/L2/L3 Verify that the user can choose to either temporarily view the entire m...,Authentication Verification Requirements,Verify that the user can choose to either temporarily view the entire masked pas...,,,,"Verify that the user can choose to either temporarily view the entire masked password, or temporarily view the last typed character of the password on platforms that do not have this as built-in functionality.",V2 Authentication Verification Requirements,V2.1 Password Security Requirements,054,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,521,,,,
ASVS-V02.02.1,OWASP-ASVS,L1/L2/L3 Verify that anti-automation controls are effective at mitigating breach...,Authentication Verification Requirements,Verify that anti-automation controls are effective at mitigating breached creden...,,,,"Verify that anti-automation controls are effective at mitigating breached credential testing, brute force, and account lockout attacks. Such controls include blocking the most common breached passwords, soft lockouts, rate limiting, CAPTCHA, ever increasing delays between attempts, IP address restrictions, or risk-based restrictions such as location, first login on a device, recent attempts to unlock the account, or similar. Verify that no more than 100 failed attempts per hour is possible on a single account.",V2 Authentication Verification Requirements,V2.2 General Authenticator Requirements,055,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,307,,,,
ASVS-V02.02.2,OWASP-ASVS,L1/L2/L3 Verify that the use of weak authenticators (such as SMS and email) is l...,Authentication Verification Requirements,Verify that the use of weak authenticators (such as SMS and email) is limited to...,,,,"Verify that the use of weak authenticators (such as SMS and email) is limited to secondary verification and transaction approval and not as a replacement for more secure authentication methods. Verify that stronger methods are offered before weak methods, users are aware of the risks, or that proper measures are in place to limit the risks of account compromise.",V2 Authentication Verification Requirements,V2.2 General Authenticator Requirements,056,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,304,,,,
ASVS-V02.02.3,OWASP-ASVS,L1/L2/L3 Verify that secure notifications are sent to users after updates to aut...,Authentication Verification Requirements,Verify that secure notifications are sent to users after updates to authenticati...,,,,"Verify that secure notifications are sent to users after updates to authentication details, such as credential resets, email or address changes, logging in from unknown or risky locations. The use of push notifications - rather than SMS or email - is preferred, but in the absence of push notifications, SMS or email is acceptable as long as no sensitive information is disclosed in the notification.",V2 Authentication Verification Requirements,V2.2 General Authenticator Requirements,057,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,620,,,,
ASVS-V02.02.4,OWASP-ASVS,"L3 Verify impersonation resistance against phishing, such as the use of multi-fa...",Authentication Verification Requirements,"Verify impersonation resistance against phishing, such as the use of multi-facto...",,,,"Verify impersonation resistance against phishing, such as the use of multi-factor authentication, cryptographic devices with intent (such as connected keys with a push to authenticate), or at higher AAL levels, client-side certificates.",V2 Authentication Verification Requirements,V2.2 General Authenticator Requirements,058,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,308,,,,
ASVS-V02.02.5,OWASP-ASVS,L3 Verify that where a Credential Service Provider (CSP) and the application ver...,Authentication Verification Requirements,Verify that where a Credential Service Provider (CSP) and the application verify...,,,,"Verify that where a Credential Service Provider (CSP) and the application verifying authentication are separated, mutually authenticated TLS is in place between the two endpoints.",V2 Authentication Verification Requirements,V2.2 General Authenticator Requirements,059,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,319,,,,
ASVS-V02.02.6,OWASP-ASVS,L3 Verify replay resistance through the mandated use of One-time Passwords (OTP)...,Authentication Verification Requirements,Verify replay resistance through the mandated use of One-time Passwords (OTP) de...,,,,"Verify replay resistance through the mandated use of One-time Passwords (OTP) devices, cryptographic authenticators, or lookup codes.",V2 Authentication Verification Requirements,V2.2 General Authenticator Requirements,060,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,308,,,,
ASVS-V02.02.7,OWASP-ASVS,L3 Verify intent to authenticate by requiring the entry of an OTP token or user-...,Authentication Verification Requirements,Verify intent to authenticate by requiring the entry of an OTP token or user-ini...,,,,Verify intent to authenticate by requiring the entry of an OTP token or user-initiated action such as a button press on a FIDO hardware key.,V2 Authentication Verification Requirements,V2.2 General Authenticator Requirements,061,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,308,,,,
ASVS-V02.03.1,OWASP-ASVS,L1/L2/L3 Verify system generated initial passwords or activation codes SHOULD be...,Authentication Verification Requirements,Verify system generated initial passwords or activation codes SHOULD be securely...,,,,"Verify system generated initial passwords or activation codes SHOULD be securely randomly generated, SHOULD be at least 6 characters long, and MAY contain letters and numbers, and expire after a short period of time. These initial secrets must not be permitted to become the long term password.",V2 Authentication Verification Requirements,V2.3 Authenticator Lifecycle Requirements,062,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,330,,,,
ASVS-V02.03.2,OWASP-ASVS,L2/L3 Verify that enrollment and use of subscriber-provided authentication devic...,Authentication Verification Requirements,Verify that enrollment and use of subscriber-provided authentication devices are...,,,,"Verify that enrollment and use of subscriber-provided authentication devices are supported, such as a U2F or FIDO tokens.",V2 Authentication Verification Requirements,V2.3 Authenticator Lifecycle Requirements,063,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,308,,,,
ASVS-V02.03.3,OWASP-ASVS,L2/L3 Verify that renewal instructions are sent with sufficient time to renew ti...,Authentication Verification Requirements,Verify that renewal instructions are sent with sufficient time to renew time bou...,,,,Verify that renewal instructions are sent with sufficient time to renew time bound authenticators.,V2 Authentication Verification Requirements,V2.3 Authenticator Lifecycle Requirements,064,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,287,,,,
ASVS-V02.04.1,OWASP-ASVS,L2/L3 Verify that passwords are stored in a form that is resistant to offline at...,Authentication Verification Requirements,Verify that passwords are stored in a form that is resistant to offline attacks....,,,,"Verify that passwords are stored in a form that is resistant to offline attacks. Passwords SHALL be salted and hashed using an approved one-way key derivation or password hashing function. Key derivation and password hashing functions take a password, a salt, and a cost factor as inputs when generating a password hash. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V2 Authentication Verification Requirements,V2.4 Credential Storage Requirements,065,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,916,,,,
ASVS-V02.04.2,OWASP-ASVS,L2/L3 Verify that the salt is at least 32 bits in length and be chosen arbitrari...,Authentication Verification Requirements,Verify that the salt is at least 32 bits in length and be chosen arbitrarily to ...,,,,"Verify that the salt is at least 32 bits in length and be chosen arbitrarily to minimize salt value collisions among stored hashes. For each credential, a unique salt value and the resulting hash SHALL be stored. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V2 Authentication Verification Requirements,V2.4 Credential Storage Requirements,066,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,916,,,,
ASVS-V02.04.3,OWASP-ASVS,"L2/L3 Verify that if PBKDF2 is used, the iteration count SHOULD be as large as v...",Authentication Verification Requirements,"Verify that if PBKDF2 is used, the iteration count SHOULD be as large as verific...",,,,"Verify that if PBKDF2 is used, the iteration count SHOULD be as large as verification server performance will allow, typically at least 100,000 iterations. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V2 Authentication Verification Requirements,V2.4 Credential Storage Requirements,067,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,916,,,,
ASVS-V02.04.4,OWASP-ASVS,"L2/L3 Verify that if bcrypt is used, the work factor SHOULD be as large as verif...",Authentication Verification Requirements,"Verify that if bcrypt is used, the work factor SHOULD be as large as verificatio...",,,,"Verify that if bcrypt is used, the work factor SHOULD be as large as verification server performance will allow, typically at least 13. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V2 Authentication Verification Requirements,V2.4 Credential Storage Requirements,068,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,916,,,,
ASVS-V02.04.5,OWASP-ASVS,L2/L3 Verify that an additional iteration of a key derivation function is perfor...,Authentication Verification Requirements,"Verify that an additional iteration of a key derivation function is performed, u...",,,,"Verify that an additional iteration of a key derivation function is performed, using a salt value that is secret and known only to the verifier. Generate the salt value using an approved random bit generator [SP 800-90Ar1] and provide at least the minimum security strength specified in the latest revision of SP 800-131A. The secret salt value SHALL be stored separately from the hashed passwords (e.g., in a specialized device like a hardware security module).",V2 Authentication Verification Requirements,V2.4 Credential Storage Requirements,069,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,916,,,,
ASVS-V02.05.1,OWASP-ASVS,L1/L2/L3 Verify that a system generated initial activation or recovery secret is...,Authentication Verification Requirements,Verify that a system generated initial activation or recovery secret is not sent...,,,,Verify that a system generated initial activation or recovery secret is not sent in clear text to the user. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V2 Authentication Verification Requirements,V2.5 Credential Recovery Requirements,070,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,640,,,,
ASVS-V02.05.2,OWASP-ASVS,"L1/L2/L3 Verify password hints or knowledge-based authentication (so-called ""sec...",Authentication Verification Requirements,"Verify password hints or knowledge-based authentication (so-called ""secret quest...",,,,"Verify password hints or knowledge-based authentication (so-called ""secret questions"") are not present.",V2 Authentication Verification Requirements,V2.5 Credential Recovery Requirements,071,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,640,,,,
ASVS-V02.05.3,OWASP-ASVS,L1/L2/L3 Verify password credential recovery does not reveal the current passwor...,Authentication Verification Requirements,Verify password credential recovery does not reveal the current password in any ...,,,,Verify password credential recovery does not reveal the current password in any way. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V2 Authentication Verification Requirements,V2.5 Credential Recovery Requirements,072,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,640,,,,
ASVS-V02.05.4,OWASP-ASVS,"L1/L2/L3 Verify shared or default accounts are not present (e.g. ""root"", ""admin""...",Authentication Verification Requirements,"Verify shared or default accounts are not present (e.g. ""root"", ""admin"", or ""sa""...",,,,"Verify shared or default accounts are not present (e.g. ""root"", ""admin"", or ""sa"").",V2 Authentication Verification Requirements,V2.5 Credential Recovery Requirements,073,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,16,,,,
ASVS-V02.05.5,OWASP-ASVS,"L1/L2/L3 Verify that if an authentication factor is changed or replaced, that th...",Authentication Verification Requirements,"Verify that if an authentication factor is changed or replaced, that the user is...",,,,"Verify that if an authentication factor is changed or replaced, that the user is notified of this event.",V2 Authentication Verification Requirements,V2.5 Credential Recovery Requirements,074,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,304,,,,
ASVS-V02.05.6,OWASP-ASVS,"L1/L2/L3 Verify forgotten password, and other recovery paths use a secure recove...",Authentication Verification Requirements,"Verify forgotten password, and other recovery paths use a secure recovery mechan...",,,,"Verify forgotten password, and other recovery paths use a secure recovery mechanism, such as time-based OTP (TOTP) or other soft token, mobile push, or another offline recovery mechanism. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V2 Authentication Verification Requirements,V2.5 Credential Recovery Requirements,075,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,640,,,,
ASVS-V02.05.7,OWASP-ASVS,"L2/L3 Verify that if OTP or multi-factor authentication factors are lost, that e...",Authentication Verification Requirements,"Verify that if OTP or multi-factor authentication factors are lost, that evidenc...",,,,"Verify that if OTP or multi-factor authentication factors are lost, that evidence of identity proofing is performed at the same level as during enrollment.",V2 Authentication Verification Requirements,V2.5 Credential Recovery Requirements,076,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,308,,,,
ASVS-V02.06.1,OWASP-ASVS,L2/L3 Verify that lookup secrets can be used only once....,Authentication Verification Requirements,Verify that lookup secrets can be used only once....,,,,Verify that lookup secrets can be used only once.,V2 Authentication Verification Requirements,V2.6 Look-up Secret Verifier Requirements,077,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,308,,,,
ASVS-V02.06.2,OWASP-ASVS,L2/L3 Verify that lookup secrets have sufficient randomness (112 bits of entropy...,Authentication Verification Requirements,"Verify that lookup secrets have sufficient randomness (112 bits of entropy), or ...",,,,"Verify that lookup secrets have sufficient randomness (112 bits of entropy), or if less than 112 bits of entropy, salted with a unique and random 32-bit salt and hashed with an approved one-way hash.",V2 Authentication Verification Requirements,V2.6 Look-up Secret Verifier Requirements,078,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,330,,,,
ASVS-V02.06.3,OWASP-ASVS,"L2/L3 Verify that lookup secrets are resistant to offline attacks, such as predi...",Authentication Verification Requirements,"Verify that lookup secrets are resistant to offline attacks, such as predictable...",,,,"Verify that lookup secrets are resistant to offline attacks, such as predictable values.",V2 Authentication Verification Requirements,V2.6 Look-up Secret Verifier Requirements,079,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,310,,,,
ASVS-V02.07.1,OWASP-ASVS,"L1/L2/L3 Verify that clear text out of band (NIST ""restricted"") authenticators, ...",Authentication Verification Requirements,"Verify that clear text out of band (NIST ""restricted"") authenticators, such as S...",,,,"Verify that clear text out of band (NIST ""restricted"") authenticators, such as SMS or PSTN, are not offered by default, and stronger alternatives such as push notifications are offered first.",V2 Authentication Verification Requirements,V2.7 Out of Band Verifier Requirements,080,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,287,,,,
ASVS-V02.07.2,OWASP-ASVS,L1/L2/L3 Verify that the out of band verifier expires out of band authentication...,Authentication Verification Requirements,Verify that the out of band verifier expires out of band authentication requests...,,,,"Verify that the out of band verifier expires out of band authentication requests, codes, or tokens after 10 minutes.",V2 Authentication Verification Requirements,V2.7 Out of Band Verifier Requirements,081,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,287,,,,
ASVS-V02.07.3,OWASP-ASVS,"L1/L2/L3 Verify that the out of band verifier authentication requests, codes, or...",Authentication Verification Requirements,"Verify that the out of band verifier authentication requests, codes, or tokens a...",,,,"Verify that the out of band verifier authentication requests, codes, or tokens are only usable once, and only for the original authentication request.",V2 Authentication Verification Requirements,V2.7 Out of Band Verifier Requirements,082,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,287,,,,
ASVS-V02.07.4,OWASP-ASVS,L1/L2/L3 Verify that the out of band authenticator and verifier communicates ove...,Authentication Verification Requirements,Verify that the out of band authenticator and verifier communicates over a secur...,,,,Verify that the out of band authenticator and verifier communicates over a secure independent channel.,V2 Authentication Verification Requirements,V2.7 Out of Band Verifier Requirements,083,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,523,,,,
ASVS-V02.07.5,OWASP-ASVS,L2/L3 Verify that the out of band verifier retains only a hashed version of the ...,Authentication Verification Requirements,Verify that the out of band verifier retains only a hashed version of the authen...,,,,Verify that the out of band verifier retains only a hashed version of the authentication code.,V2 Authentication Verification Requirements,V2.7 Out of Band Verifier Requirements,084,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,256,,,,
ASVS-V02.07.6,OWASP-ASVS,L2/L3 Verify that the initial authentication code is generated by a secure rando...,Authentication Verification Requirements,Verify that the initial authentication code is generated by a secure random numb...,,,,"Verify that the initial authentication code is generated by a secure random number generator, containing at least 20 bits of entropy (typically a six digital random number is sufficient).",V2 Authentication Verification Requirements,V2.7 Out of Band Verifier Requirements,085,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,310,,,,
ASVS-V02.08.1,OWASP-ASVS,L1/L2/L3 Verify that time-based OTPs have a defined lifetime before expiring....,Authentication Verification Requirements,Verify that time-based OTPs have a defined lifetime before expiring....,,,,Verify that time-based OTPs have a defined lifetime before expiring.,V2 Authentication Verification Requirements,V2.8 Single or Multi-factor One Time Verifier Requirements,086,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,613,,,,
ASVS-V02.08.2,OWASP-ASVS,L2/L3 Verify that symmetric keys used to verify submitted OTPs are highly protec...,Authentication Verification Requirements,"Verify that symmetric keys used to verify submitted OTPs are highly protected, s...",,,,"Verify that symmetric keys used to verify submitted OTPs are highly protected, such as by using a hardware security module or secure operating system based key storage.",V2 Authentication Verification Requirements,V2.8 Single or Multi-factor One Time Verifier Requirements,087,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,320,,,,
ASVS-V02.08.3,OWASP-ASVS,"L2/L3 Verify that approved cryptographic algorithms are used in the generation, ...",Authentication Verification Requirements,"Verify that approved cryptographic algorithms are used in the generation, seedin...",,,,"Verify that approved cryptographic algorithms are used in the generation, seeding, and verification of OTPs.",V2 Authentication Verification Requirements,V2.8 Single or Multi-factor One Time Verifier Requirements,088,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,326,,,,
ASVS-V02.08.4,OWASP-ASVS,L2/L3 Verify that time-based OTP can be used only once within the validity perio...,Authentication Verification Requirements,Verify that time-based OTP can be used only once within the validity period....,,,,Verify that time-based OTP can be used only once within the validity period.,V2 Authentication Verification Requirements,V2.8 Single or Multi-factor One Time Verifier Requirements,089,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,287,,,,
ASVS-V02.08.5,OWASP-ASVS,L2/L3 Verify that if a time-based multi-factor OTP token is re-used during the v...,Authentication Verification Requirements,Verify that if a time-based multi-factor OTP token is re-used during the validit...,,,,"Verify that if a time-based multi-factor OTP token is re-used during the validity period, it is logged and rejected with secure notifications being sent to the holder of the device.",V2 Authentication Verification Requirements,V2.8 Single or Multi-factor One Time Verifier Requirements,090,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,287,,,,
ASVS-V02.08.6,OWASP-ASVS,L2/L3 Verify physical single-factor OTP generator can be revoked in case of thef...,Authentication Verification Requirements,Verify physical single-factor OTP generator can be revoked in case of theft or o...,,,,"Verify physical single-factor OTP generator can be revoked in case of theft or other loss. Ensure that revocation is immediately effective across logged in sessions, regardless of location.",V2 Authentication Verification Requirements,V2.8 Single or Multi-factor One Time Verifier Requirements,091,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,613,,,,
ASVS-V02.08.7,OWASP-ASVS,L2/L3 Verify that biometric authenticators are limited to use only as secondary ...,Authentication Verification Requirements,Verify that biometric authenticators are limited to use only as secondary factor...,,,,Verify that biometric authenticators are limited to use only as secondary factors in conjunction with either something you have and something you know.,V2 Authentication Verification Requirements,V2.8 Single or Multi-factor One Time Verifier Requirements,092,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,308,,,,
ASVS-V02.09.1,OWASP-ASVS,L2/L3 Verify that cryptographic keys used in verification are stored securely an...,Authentication Verification Requirements,Verify that cryptographic keys used in verification are stored securely and prot...,,,,"Verify that cryptographic keys used in verification are stored securely and protected against disclosure, such as using a Trusted Platform Module (TPM) or Hardware Security Module (HSM), or an OS service that can use this secure storage.",V2 Authentication Verification Requirements,V2.9 Cryptographic Software and Devices Verifier Requirements,093,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,320,,,,
ASVS-V02.09.2,OWASP-ASVS,"L2/L3 Verify that the challenge nonce is at least 64 bits in length, and statist...",Authentication Verification Requirements,"Verify that the challenge nonce is at least 64 bits in length, and statistically...",,,,"Verify that the challenge nonce is at least 64 bits in length, and statistically unique or unique over the lifetime of the cryptographic device.",V2 Authentication Verification Requirements,V2.9 Cryptographic Software and Devices Verifier Requirements,094,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,330,,,,
ASVS-V02.09.3,OWASP-ASVS,"L2/L3 Verify that approved cryptographic algorithms are used in the generation, ...",Authentication Verification Requirements,"Verify that approved cryptographic algorithms are used in the generation, seedin...",,,,"Verify that approved cryptographic algorithms are used in the generation, seeding, and verification.",V2 Authentication Verification Requirements,V2.9 Cryptographic Software and Devices Verifier Requirements,095,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,327,,,,
ASVS-V02.10.1,OWASP-ASVS,L2/L3 Verify that intra-service secrets do not rely on unchanging credentials su...,Authentication Verification Requirements,Verify that intra-service secrets do not rely on unchanging credentials such as ...,,,,"Verify that intra-service secrets do not rely on unchanging credentials such as passwords, API keys or shared accounts with privileged access.",V2 Authentication Verification Requirements,V2.10 Service Authentication Requirements,096,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,287,,,,
ASVS-V02.10.2,OWASP-ASVS,"L2/L3 Verify that if passwords are required for service authentication, the serv...",Authentication Verification Requirements,"Verify that if passwords are required for service authentication, the service ac...",,,,"Verify that if passwords are required for service authentication, the service account used is not a default credential. (e.g. root/root or admin/admin are default in some services during installation).",V2 Authentication Verification Requirements,V2.10 Service Authentication Requirements,097,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,255,,,,
ASVS-V02.10.3,OWASP-ASVS,L2/L3 Verify that passwords are stored with sufficient protection to prevent off...,Authentication Verification Requirements,Verify that passwords are stored with sufficient protection to prevent offline r...,,,,"Verify that passwords are stored with sufficient protection to prevent offline recovery attacks, including local system access.",V2 Authentication Verification Requirements,V2.10 Service Authentication Requirements,098,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,522,,,,
ASVS-V02.10.4,OWASP-ASVS,"L2/L3 Verify passwords, integrations with databases and third-party systems, see...",Authentication Verification Requirements,"Verify passwords, integrations with databases and third-party systems, seeds and...",,,,"Verify passwords, integrations with databases and third-party systems, seeds and internal secrets, and API keys are managed securely and not included in the source code or stored within source code repositories. Such storage SHOULD resist offline attacks. The use of a secure software key store (L1), hardware TPM, or an HSM (L3) is recommended for password storage.",V2 Authentication Verification Requirements,V2.10 Service Authentication Requirements,099,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,798,,,,
ASVS-V03.01.1,OWASP-ASVS,L1/L2/L3 Verify the application never reveals session tokens in URL parameters. ...,Session Management Verification Requirements,Verify the application never reveals session tokens in URL parameters. ...,,,,Verify the application never reveals session tokens in URL parameters. ,V3 Session Management Verification Requirements,V3.1 Fundamental Session Management Requirements,100,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,598,,,,
ASVS-V03.02.1,OWASP-ASVS,L1/L2/L3 Verify the application generates a new session token on user authentica...,Session Management Verification Requirements,Verify the application generates a new session token on user authentication. ([C...,,,,Verify the application generates a new session token on user authentication. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V3 Session Management Verification Requirements,V3.2 Session Binding Requirements,101,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,384,,,,
ASVS-V03.02.2,OWASP-ASVS,L1/L2/L3 Verify that session tokens possess at least 64 bits of entropy. ([C6](h...,Session Management Verification Requirements,Verify that session tokens possess at least 64 bits of entropy. ([C6](https://ow...,,,,Verify that session tokens possess at least 64 bits of entropy. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V3 Session Management Verification Requirements,V3.2 Session Binding Requirements,102,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,331,,,,
ASVS-V03.02.3,OWASP-ASVS,L1/L2/L3 Verify the application only stores session tokens in the browser using ...,Session Management Verification Requirements,Verify the application only stores session tokens in the browser using secure me...,,,,Verify the application only stores session tokens in the browser using secure methods such as appropriately secured cookies (see section 3.4) or HTML 5 session storage.,V3 Session Management Verification Requirements,V3.2 Session Binding Requirements,103,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,539,,,,
ASVS-V03.02.4,OWASP-ASVS,L2/L3 Verify that session token are generated using approved cryptographic algor...,Session Management Verification Requirements,Verify that session token are generated using approved cryptographic algorithms....,,,,Verify that session token are generated using approved cryptographic algorithms. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V3 Session Management Verification Requirements,V3.2 Session Binding Requirements,104,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,331,,,,
ASVS-V03.03.1,OWASP-ASVS,"L1/L2/L3 Verify that logout and expiration invalidate the session token, such th...",Session Management Verification Requirements,"Verify that logout and expiration invalidate the session token, such that the ba...",,,,"Verify that logout and expiration invalidate the session token, such that the back button or a downstream relying party does not resume an authenticated session, including across relying parties. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V3 Session Management Verification Requirements,V3.3 Session Logout and Timeout Requirements,105,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,613,,,,
ASVS-V03.03.2,OWASP-ASVS,"L1/L2/L3 If authenticators permit users to remain logged in, verify that re-auth...",Session Management Verification Requirements,"If authenticators permit users to remain logged in, verify that re-authenticatio...",,,,"If authenticators permit users to remain logged in, verify that re-authentication occurs periodically both when actively used or after an idle period. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V3 Session Management Verification Requirements,V3.3 Session Logout and Timeout Requirements,106,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,613,,,,
ASVS-V03.03.3,OWASP-ASVS,L2/L3 Verify that the application gives the option to terminate all other active...,Session Management Verification Requirements,Verify that the application gives the option to terminate all other active sessi...,,,,"Verify that the application gives the option to terminate all other active sessions after a successful password change (including change via password reset/recovery), and that this is effective across the application, federated login (if present), and any relying parties.",V3 Session Management Verification Requirements,V3.3 Session Logout and Timeout Requirements,107,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,613,,,,
ASVS-V03.03.4,OWASP-ASVS,L2/L3 Verify that users are able to view and (having re-entered login credential...,Session Management Verification Requirements,Verify that users are able to view and (having re-entered login credentials) log...,,,,Verify that users are able to view and (having re-entered login credentials) log out of any or all currently active sessions and devices.,V3 Session Management Verification Requirements,V3.3 Session Logout and Timeout Requirements,108,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x12-V3-Session-management.md,613,,,,
